	best_action	h	init_light	prob_change	t	v	x
117	0.0	1.0	1	0.25176233635448136	15.07	4.0	40.0
118	0.0	0.8	1	0.19940179461615157	14.97	5.0	40.0
119	0.0	0.6673333333333334	1	0.1651829871414441	14.89	6.0	40.0
120	0.0	0.5717142857142857	1	0.14047151277013753	14.82	7.0	40.0
121	0.0	0.5	1	0.12195121951219512	14.75	8.0	40.0
122	0.0	0.4442222222222223	1	0.1076624636275461	14.690000000000001	9.0	40.0
123	0.0	0.4	1	0.09652509652509653	14.64	10.0	40.0
124	0.0	0.3638181818181818	1	0.08741594620557157	14.59	11.0	40.0
125	0.0	0.33266666666666667	1	0.07942583732057416	14.55	12.0	40.0
126	0.0	0.3078461538461539	1	0.07340324118207817	14.51	13.0	40.0
127	0.0	0.28485714285714286	1	0.06742640075973409	14.47	14.0	40.0
128	0.0	0.2673333333333333	1	0.06344696969696971	14.440000000000001	15.0	40.0
129	0.0	0.249	1	0.05854579792256846	14.41	16.0	40.0
130	0.0	0.8	1	0.19493177387914232	14.74	5.0	40.0
131	0.0	0.6673333333333333	1	0.1616650532429816	14.67	6.0	40.0
132	0.0	0.5717142857142857	1	0.13749999999999998	14.6	7.0	40.0
133	0.0	0.5	1	0.11950286806883366	14.540000000000001	8.0	40.0
134	0.0	0.4442222222222223	1	0.10561370123691723	14.49	9.0	40.0
135	0.0	0.4	1	0.0946969696969697	14.44	10.0	40.0
136	0.0	0.3638181818181818	1	0.0858490566037736	14.4	11.0	40.0
137	0.0	0.33266666666666667	1	0.07800751879699247	14.36	12.0	40.0
138	0.0	0.3078461538461539	1	0.07209737827715357	14.32	13.0	40.0
139	0.0	0.28485714285714286	1	0.06629318394024276	14.290000000000001	14.0	40.0
140	0.0	0.2673333333333333	1	0.062383612662942275	14.26	15.0	40.0
141	0.0	0.249	1	0.057567316620241414	14.23	16.0	40.0
142	0.0	0.5717142857142857	1	0.13503305004721436	14.41	7.0	40.0
143	0.0	0.5	1	0.1174812030075188	14.36	8.0	40.0
144	0.0	0.4442222222222223	1	0.10383536014967258	14.309999999999999	9.0	40.0
145	0.0	0.4	1	0.09319664492078285	14.27	10.0	40.0
146	0.0	0.3638181818181818	1	0.08449396471680594	14.229999999999999	11.0	40.0
147	0.0	0.33266666666666667	1	0.07678075855689176	14.19	12.0	40.0
148	0.0	0.3078461538461539	1	0.07103321033210333	14.16	13.0	40.0
149	0.0	0.28485714285714286	1	0.06531738730450781	14.129999999999999	14.0	40.0
150	0.0	0.2673333333333333	1	0.061467889908256884	14.1	15.0	40.0
151	0.0	0.249	1	0.056724611161939616	14.07	16.0	40.0
152	0.0	0.23564705882352943	1	0.05388127853881278	14.049999999999999	17.0	40.0
153	0.0	2.0	1	1.0	21.83	2.0	40.0
154	0.0	1.3326666666666669	1	0.6880165289256198	20.16	3.0	40.0
155	0.0	1.0	1	0.4280821917808219	19.16	4.0	40.0
156	0.0	0.8	1	0.3072196620583718	18.490000000000002	5.0	40.0
157	0.0	0.6673333333333333	1	0.23925501432664753	18.02	6.0	40.0
158	0.0	0.5717142857142857	1	0.19482288828337874	17.66	7.0	40.0
159	0.0	0.5	1	0.16404199475065614	17.38	8.0	40.0
160	0.0	0.4442222222222223	1	0.14158163265306123	17.16	9.0	40.0
161	0.0	0.4	1	0.12468827930174564	16.98	10.0	40.0
162	0.0	0.3638181818181818	1	0.1113831089351285	16.83	11.0	40.0
163	0.0	0.33266666666666667	1	0.09999999999999999	16.7	12.0	40.0
164	0.4	5.466666666666667	1	1.0	20.16	1.0	40.0
165	0.0	2.0	1	0.7680491551459295	18.490000000000002	2.0	40.0
166	0.0	1.3326666666666669	1	0.4434087882822904	17.490000000000002	3.0	40.0
167	0.0	1.0	1	0.3056234718826406	16.82	4.0	40.0
168	0.0	0.8	1	0.23121387283237	16.35	5.0	40.0
169	0.0	0.6673333333333333	1	0.1853496115427303	15.99	6.0	40.0
170	0.0	0.5717142857142857	1	0.15392895586652314	15.71	7.0	40.0
171	0.0	0.5	1	0.13144058885383808	15.49	8.0	40.0
172	0.0	0.4442222222222223	1	0.11455108359133129	15.31	9.0	40.0
173	0.0	0.4	1	0.1016260162601626	15.16	10.0	40.0
174	0.0	0.3638181818181818	1	0.0912738214643932	15.030000000000001	11.0	40.0
175	0.0	0.33266666666666667	1	0.08234126984126984	14.92	12.0	40.0
176	0.4	5.466666666666667	1	0.6657789613848204	17.490000000000002	1.0	40.0
177	0.0	2.0	1	0.5875440658049355	16.490000000000002	2.0	40.0
178	0.0	1.3326666666666669	1	0.36274509803921573	15.82	3.0	40.0
179	0.0	1.0	1	0.25906735751295334	15.35	4.0	40.0
180	0.0	0.8	1	0.1998001998001998	14.99	5.0	40.0
181	0.0	0.6673333333333333	1	0.16229348882410108	14.71	6.0	40.0
182	0.0	0.5717142857142857	1	0.13606089438629876	14.49	7.0	40.0
183	0.0	0.5	1	0.11693171188026193	14.31	8.0	40.0
184	0.0	0.4442222222222223	1	0.10239852398523987	14.16	9.0	40.0
185	0.0	0.4	1	0.0911577028258888	14.030000000000001	10.0	40.0
186	0.0	0.3638181818181818	1	0.08212996389891697	13.92	11.0	40.0
187	0.0	0.33266666666666667	1	0.0742397137745975	13.82	12.0	40.0
188	0.0	0.3078461538461539	1	0.06838365896980463	13.74	13.0	40.0
189	0.0	2.0	1	0.5076142131979695	15.15	2.0	40.0
190	0.0	1.3326666666666669	1	0.3226744186046512	14.68	3.0	40.0
191	0.0	1.0	1	0.23408239700374533	14.32	4.0	40.0
192	0.0	0.8	1	0.18248175182481755	14.040000000000001	5.0	40.0
193	0.0	0.6673333333333333	1	0.14937388193202147	13.82	6.0	40.0
194	0.0	0.5717142857142857	1	0.12588028169014084	13.64	7.0	40.0
195	0.0	0.5	1	0.10860121633362294	13.49	8.0	40.0
196	0.0	0.4442222222222223	1	0.09536082474226805	13.36	9.0	40.0
197	0.0	0.4	1	0.0851063829787234	13.25	10.0	40.0
198	0.0	0.3638181818181818	1	0.07679324894514769	13.15	11.0	40.0
199	0.0	0.3326666666666667	1	0.06957250628667225	13.07	12.0	40.0
200	0.0	0.3078461538461539	1	0.06416666666666666	13.0	13.0	40.0
201	0.4	5.466666666666667	1	0.4844961240310077	14.68	1.0	40.0
202	0.0	2.0	1	0.46339202965708987	14.209999999999999	2.0	40.0
203	0.0	1.3326666666666669	1	0.2986547085201794	13.85	3.0	40.0
204	0.0	1.0	1	0.21872265966754156	13.57	4.0	40.0
205	0.0	0.8	1	0.17167381974248927	13.35	5.0	40.0
206	0.0	0.6673333333333333	1	0.14116652578191038	13.17	6.0	40.0
207	0.0	0.5717142857142857	1	0.11936560934891485	13.02	7.0	40.0
208	0.0	0.5	1	0.1032204789430223	12.89	8.0	40.0
209	0.0	0.4442222222222223	1	0.09083469721767594	12.78	9.0	40.0
210	0.0	0.4	1	0.08116883116883117	12.68	10.0	40.0
211	0.0	0.3638181818181818	1	0.07338709677419356	12.6	11.0	40.0
212	0.0	0.33266666666666667	1	0.06655974338412189	12.53	12.0	40.0
213	0.0	0.3078461538461539	1	0.06140350877192982	12.459999999999999	13.0	40.0
214	0.4	5.466666666666667	1	0.44843049327354256	13.85	1.0	40.0
215	0.0	2.0	1	0.43440486533449174	13.49	2.0	40.0
216	0.0	1.3326666666666669	1	0.2824427480916031	13.21	3.0	40.0
217	0.0	1.0	1	0.20815986677768528	12.99	4.0	40.0
218	0.0	0.8	1	0.16406890894175555	12.81	5.0	40.0
219	0.0	0.6673333333333334	1	0.1353322528363047	12.66	6.0	40.0
220	0.0	0.5717142857142857	1	0.11467522052927026	12.530000000000001	7.0	40.0
221	0.0	0.5	1	0.09936406995230525	12.42	8.0	40.0
222	0.0	0.4442222222222223	1	0.08753943217665616	12.32	9.0	40.0
223	0.0	0.4	1	0.07836990595611286	12.24	10.0	40.0
224	0.0	0.3638181818181818	1	0.07092751363990647	12.17	11.0	40.0
225	0.0	0.33266666666666667	1	0.06434108527131782	12.1	12.0	40.0
226	0.0	0.3078461538461539	1	0.05941358024691359	12.040000000000001	13.0	40.0
227	0.0	0.28485714285714286	1	0.054573405073020755	11.99	14.0	40.0
228	0.4	5.466666666666667	1	0.42408821034775235	13.21	1.0	40.0
229	0.0	2.0	1	0.41425020712510363	12.930000000000001	2.0	40.0
230	0.0	1.3326666666666669	1	0.2709519934906428	12.71	3.0	40.0
231	0.0	1.0	1	0.2004811547714515	12.530000000000001	4.0	40.0
232	0.0	0.8	1	0.1584786053882726	12.38	5.0	40.0
233	0.0	0.6673333333333333	1	0.13098039215686275	12.25	6.0	40.0
234	0.0	0.5717142857142856	1	0.11119751166407466	12.14	7.0	40.0
235	0.0	0.5	1	0.09645061728395063	12.040000000000001	8.0	40.0
236	0.0	0.4442222222222223	1	0.08512269938650308	11.96	9.0	40.0
237	0.0	0.4	1	0.07627765064836003	11.89	10.0	40.0
238	0.0	0.3638181818181818	1	0.06904400606980274	11.82	11.0	40.0
239	0.0	0.33266666666666667	1	0.06268882175226587	11.760000000000002	12.0	40.0
240	0.0	0.3078461538461539	1	0.05793829947328819	11.71	13.0	40.0
241	0.0	0.2848571428571429	1	0.05322338830584707	11.66	14.0	40.0
242	0.4	5.466666666666667	1	0.40683482506102525	12.71	1.0	40.0
243	0.0	2.0	1	0.3996802557953637	12.49	2.0	40.0
244	0.0	1.3326666666666669	1	0.2624113475177305	12.31	3.0	40.0
245	0.0	1.0	1	0.19470404984423675	12.16	4.0	40.0
246	0.0	0.8	1	0.15420200462606015	12.030000000000001	5.0	40.0
247	0.0	0.6673333333333333	1	0.12767584097859327	11.92	6.0	40.0
248	0.0	0.5717142857142857	1	0.10849772382397573	11.82	7.0	40.0
249	0.0	0.5	1	0.0942684766214178	11.74	8.0	40.0
250	0.0	0.4442222222222223	1	0.08327081770442611	11.67	9.0	40.0
251	0.0	0.4	1	0.07462686567164178	11.6	10.0	40.0
252	0.0	0.3638181818181819	1	0.06760772659732542	11.540000000000001	11.0	40.0
253	0.0	0.33266666666666667	1	0.0614359733530718	11.49	12.0	40.0
254	0.0	0.3078461538461539	1	0.056784660766961655	11.44	13.0	40.0
255	0.0	0.28485714285714286	1	0.05220588235294118	11.4	14.0	40.0
256	0.15	5.463914302600473	1	0.5256107171000788	12.31	1.0	40.0
257	0.0	2.0	1	0.38850038850038854	12.13	2.0	40.0
258	0.0	1.3326666666666669	1	0.2557603686635945	11.98	3.0	40.0
259	0.0	1.0	1	0.19011406844106465	11.850000000000001	4.0	40.0
260	0.0	0.8	1	0.15082956259426847	11.74	5.0	40.0
261	0.0	0.6673333333333333	1	0.125	11.64	6.0	40.0
262	0.0	0.5717142857142857	1	0.10639880952380952	11.56	7.0	40.0
263	0.0	0.5	1	0.0925240562546262	11.49	8.0	40.0
264	0.0	0.44422222222222224	1	0.0817378497790869	11.42	9.0	40.0
265	0.0	0.4	1	0.07331378299120235	11.360000000000001	10.0	40.0
266	0.0	0.3638181818181818	1	0.0664718772826881	11.31	11.0	40.0
267	0.0	0.33266666666666667	1	0.06040756914119359	11.26	12.0	40.0
268	0.0	0.3078461538461539	1	0.05587808417997098	11.22	13.0	40.0
269	0.0	0.28485714285714286	1	0.05137481910274964	11.18	14.0	40.0
270	0.0	0.2673333333333333	1	0.048340548340548344	11.14	15.0	40.0
271	0.15	5.388811059907834	1	0.5122887864823349	11.98	1.0	40.0
272	0.0	2.0	1	0.37965072133637057	11.83	2.0	40.0
273	0.0	1.3326666666666669	1	0.25037593984962403	11.7	3.0	40.0
274	0.0	1.0	1	0.18642803877703207	11.59	4.0	40.0
275	0.0	0.8	1	0.14803849000740193	11.49	5.0	40.0
276	0.0	0.6673333333333333	1	0.12288447387785136	11.41	6.0	40.0
277	0.0	0.5717142857142857	1	0.10468521229868227	11.34	7.0	40.0
278	0.0	0.5	1	0.09104151493080845	11.27	8.0	40.0
279	0.0	0.44422222222222224	1	0.08049311094996375	11.21	9.0	40.0
280	0.0	0.4	1	0.07225433526011561	11.16	10.0	40.0
281	0.0	0.3638181818181818	1	0.06551475881929446	11.11	11.0	40.0
282	0.0	0.33266666666666667	1	0.05958363244795405	11.07	12.0	40.0
283	0.0	0.3078461538461539	1	0.05511811023622047	11.03	13.0	40.0
284	0.0	0.28485714285714286	1	0.05067808708065667	10.99	14.0	40.0
285	0.0	0.2673333333333333	1	0.04772079772079773	10.96	15.0	40.0
286	0.0	0.249	1	0.044065387348969434	10.93	16.0	40.0
287	0.0	0.8	1	0.1457725947521866	11.280000000000001	5.0	40.0
288	0.0	0.6673333333333333	1	0.12110224800580131	11.21	6.0	40.0
289	0.0	0.5717142857142857	1	0.10317460317460317	11.14	7.0	40.0
290	0.0	0.5	1	0.08979885057471265	11.080000000000002	8.0	40.0
291	0.0	0.4442222222222223	1	0.07945597709377239	11.030000000000001	9.0	40.0
292	0.0	0.4	1	0.07132667617689016	10.98	10.0	40.0
293	0.0	0.3638181818181819	1	0.06472261735419631	10.940000000000001	11.0	40.0
294	0.0	0.33266666666666667	1	0.058865248226950356	10.9	12.0	40.0
295	0.0	0.3078461538461539	1	0.05445544554455446	10.860000000000001	13.0	40.0
296	0.0	0.28485714285714286	1	0.05010585744530699	10.830000000000002	14.0	40.0
297	0.0	0.2673333333333333	1	0.0471830985915493	10.8	15.0	40.0
298	0.0	0.249	1	0.04356992269852425	10.770000000000001	16.0	40.0
299	0.0	0.5717142857142857	1	0.10192444761225944	10.97	7.0	40.0
300	0.0	0.5	1	0.08877840909090909	10.92	8.0	40.0
301	0.0	0.4442222222222223	1	0.07855626326963906	10.87	9.0	40.0
302	0.0	0.4	1	0.07057163020465773	10.83	10.0	40.0
303	0.0	0.3638181818181818	1	0.06403940886699508	10.79	11.0	40.0
304	0.0	0.33266666666666667	1	0.05824561403508772	10.75	12.0	40.0
305	0.0	0.3078461538461539	1	0.05392156862745098	10.72	13.0	40.0
306	0.0	0.28485714285714286	1	0.04961565338923829	10.69	14.0	40.0
307	0.0	0.2673333333333333	1	0.04672245467224547	10.66	15.0	40.0
308	0.0	0.249	1	0.04314544189283229	10.629999999999999	16.0	40.0
309	0.0	0.23564705882352943	1	0.041000694927032656	10.61	17.0	40.0
310	0.0	1.3326666666666669	1	0.4070904645476773	16.82	3.0	40.0
311	0.0	1.0	1	0.27233115468409586	15.82	4.0	40.0
312	0.0	0.8	1	0.20304568527918782	15.15	5.0	40.0
313	0.0	0.6673333333333333	1	0.16182170542635657	14.68	6.0	40.0
314	0.0	0.5717142857142858	1	0.13389513108614232	14.32	7.0	40.0
315	0.0	0.5	1	0.11405109489051096	14.040000000000001	8.0	40.0
316	0.0	0.4442222222222223	1	0.09928443649373883	13.82	9.0	40.0
317	0.0	0.4	1	0.08802816901408451	13.64	10.0	40.0
318	0.0	0.3638181818181818	1	0.0790616854908775	13.49	11.0	40.0
319	0.0	0.3326666666666667	1	0.07130584192439862	13.36	12.0	40.0
320	0.0	2.0	1	0.5446623093681917	15.82	2.0	40.0
321	0.0	1.3326666666666669	1	0.32711198428290766	14.82	3.0	40.0
322	0.0	1.0	1	0.2304147465437788	14.15	4.0	40.0
323	0.0	0.8	1	0.17667844522968199	13.68	5.0	40.0
324	0.0	0.6673333333333334	1	0.1429794520547945	13.32	6.0	40.0
325	0.0	0.5717142857142857	1	0.11956521739130435	13.040000000000001	7.0	40.0
326	0.0	0.5	1	0.10262725779967159	12.82	8.0	40.0
