	cost	init_light	plan	v	vel	x
118	5.3	2	[0.80000000000000004, 0.0]	0.0	[0.0, 4.0, 4.0]	40.0
119	0.3	2	[0.050000000000000003]	0.0	[0.0, 1.0]	50.0
120	6.9	2	[0.0, 0.0, 0.14999999999999999, 0.0, 0.0]	1.0	[1.0, 1.0, 1.0, 2.0, 2.0, 2.0]	10.0
121	19.65	2	[3.1499999999999999, 0.0, 0.0, 0.0]	1.0	[1.0, 8.0, 8.0, 8.0, 8.0]	20.0
122	11.16666666666667	2	[1.75, 0.0, 0.0]	1.0	[1.0, 6.0, 6.0, 6.0]	30.0
123	3.0666666666666664	2	[0.40000000000000002, 0.0]	1.0	[1.0, 3.0, 3.0]	40.0
124	0.9000000000000001	2	[0.14999999999999999]	1.0	[1.0, 2.0]	50.0
125	7.233333333333334	2	[0.0, -0.14999999999999999, 0.0, 0.0, 0.14999999999999999]	2.0	[2.0, 2.0, 1.0, 1.0, 1.0, 2.0]	10.0
126	18.499999999999996	2	[2.25, 0.75, 0.0, 0.0]	2.0	[2.0, 7.0, 8.0, 8.0, 8.0]	20.0
127	7.100000000000001	2	[1.05, 0.0, 0.0]	2.0	[2.0, 5.0, 5.0, 5.0]	30.0
128	2.0	2	[0.0, 0.0]	2.0	[2.0, 2.0, 2.0]	40.0
129	1.0	2	[0.0]	2.0	[2.0, 2.0]	50.0
130	6.9	2	[-0.40000000000000002, 0.0, 0.0, 0.14999999999999999, 0.0]	3.0	[3.0, 1.0, 1.0, 1.0, 2.0, 2.0]	10.0
131	12.857142857142858	2	[2.0, 0.0, 0.0, 0.0]	3.0	[3.0, 7.0, 7.0, 7.0, 7.0]	20.0
132	5.6000000000000005	2	[0.80000000000000004, 0.0, 0.0]	3.0	[3.0, 5.0, 5.0, 5.0]	30.0
133	1.3333333333333335	2	[0.0, 0.0]	3.0	[3.0, 3.0, 3.0]	40.0
134	0.6666666666666667	2	[0.0]	3.0	[3.0, 3.0]	50.0
135	7.7	2	[-0.75, 0.0, 0.0, 0.0, 0.14999999999999999]	4.0	[4.0, 1.0, 1.0, 1.0, 1.0, 2.0]	10.0
136	10.471428571428573	2	[1.0, 0.64999999999999991, 0.0, 0.0]	4.0	[4.0, 6.0, 7.0, 7.0, 7.0]	20.0
137	1.5	2	[0.0, 0.0, 0.0]	4.0	[4.0, 4.0, 4.0, 4.0]	30.0
138	1.0	2	[0.0, 0.0]	4.0	[4.0, 4.0, 4.0]	40.0
139	0.5	2	[0.0]	4.0	[4.0, 4.0]	50.0
140	7.566666666666667	2	[-1.2, 0.0, 0.0, 0.0, 0.14999999999999999]	5.0	[5.0, 1.0, 1.0, 1.0, 1.0, 2.0]	10.0
141	7.771428571428571	2	[0.55000000000000004, 0.64999999999999991, 0.0, 0.0]	5.0	[5.0, 6.0, 7.0, 7.0, 7.0]	20.0
142	1.2000000000000002	2	[0.0, 0.0, 0.0]	5.0	[5.0, 5.0, 5.0, 5.0]	30.0
