	x	v	cost	plan	vel	init_light
75	10.0	15.0	0.8469620743034055	[6.8, 0.0, 0.0, 0.0, 0.0]	[15.0, 19.0, 19.0, 19.0, 19.0, 19.0]	1
76	20.0	15.0	0.7022252321981425	[6.8, 0.0, 0.0, 0.0]	[15.0, 19.0, 19.0, 19.0, 19.0]	1
77	30.0	15.0	0.5453881048387097	[1.55, 0.0, 0.0]	[15.0, 16.0, 16.0, 16.0]	1
78	40.0	15.0	0.36666666666666664	[0.0, 0.0]	[15.0, 15.0, 15.0]	1
79	50.0	15.0	0.18333333333333332	[0.0]	[15.0, 15.0]	1
80	10.0	16.0	0.8152777777777778	[7.199999999999999, 0.0, 0.0, 0.0, 0.0]	[16.0, 20.0, 20.0, 20.0, 20.0, 20.0]	1
81	20.0	16.0	0.6732230392156863	[3.4, 0.0, 0.0, 0.0]	[16.0, 18.0, 18.0, 18.0, 18.0]	1
82	30.0	16.0	0.515625	[0.0, 0.0, 0.0]	[16.0, 16.0, 16.0, 16.0]	1
83	40.0	16.0	0.34375	[0.0, 0.0]	[16.0, 16.0, 16.0]	1
84	50.0	16.0	0.171875	[0.0]	[16.0, 16.0]	1
85	10.0	17.0	0.7853673986486487	[5.55, 0.0, 0.0, 0.0, 0.0]	[17.0, 20.0, 20.0, 20.0, 20.0, 20.0]	1
86	20.0	17.0	0.6428199404761905	[1.75, 0.0, 0.0, 0.0]	[17.0, 18.0, 18.0, 18.0, 18.0]	1
87	30.0	17.0	0.4852941176470589	[0.0, 0.0, 0.0]	[17.0, 17.0, 17.0, 17.0]	1
88	40.0	17.0	0.3235294117647059	[0.0, 0.0]	[17.0, 17.0, 17.0]	1
89	50.0	17.0	0.16176470588235295	[0.0]	[17.0, 17.0]	1
90	10.0	18.0	0.7541118421052633	[3.8000000000000003, 0.0, 0.0, 0.0, 0.0]	[18.0, 20.0, 20.0, 20.0, 20.0, 20.0]	1
91	20.0	18.0	0.6111111111111112	[0.0, 0.0, 0.0, 0.0]	[18.0, 18.0, 18.0, 18.0, 18.0]	1
92	30.0	18.0	0.45833333333333337	[0.0, 0.0, 0.0]	[18.0, 18.0, 18.0, 18.0]	1
93	40.0	18.0	0.3055555555555556	[0.0, 0.0]	[18.0, 18.0, 18.0]	1
94	50.0	18.0	0.1527777777777778	[0.0]	[18.0, 18.0]	1
